id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
54242,"Rua Souza Bandeira, - Vila Santa Luzia - Torre, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TORRE,,VILA SANTA LUZIA,-8.0474105,-34.9173176,"31/12/2022, 21:00:00",false,false,,Homicidio/Tentativa,,,false,b24cca34-5f2a-420d-ad9e-40c517fb3433,People,dead,Sem identificação,"01/01/2023, 05:00:00",Civilian,38,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54230,"R. São Bento - Córrego do Eucalipto - Macaxeira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,CORREGO DO EUCALIPTO,-8.0089277,-34.9275418,"31/12/2022, 21:20:00",false,false,,Homicidio/Tentativa,,,false,c53130b3-ddc5-43f4-869f-34b4efc6263d,People,dead,Sem identificação,"31/12/2022, 21:20:00",Civilian,22,adulto,homem cis,Negra,residência,de folga,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54236,"Torre, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TORRE,,,-8.045010999999999,-34.9099178,"01/01/2023, 09:30:00",false,false,,Homicidio/Tentativa,,,false,c6f733ff-05d3-41fa-99f1-7d8987e2d929,People,dead,Sem identificação,"01/01/2023, 09:30:00",Civilian,20,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54299,"Avenida Norte Miguel Arraes de Alencar - Tamarineira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TAMARINEIRA,,,-8.0296815,-34.9004687,"03/01/2023, 23:30:00",false,false,,Homicidio/Tentativa,,,false,5b300546-1e9f-47d3-9be0-4f2eeed941f1,People,dead,Sem identificação,"04/01/2023, 23:30:00",Civilian,,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54294,"R. Visc. de Abaeté - Tamarineira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TAMARINEIRA,,,-8.0296321,-34.8983341,"05/01/2023, 00:00:00",false,false,,Homicidio/Tentativa,,,false,d43f06d8-bbd0-4a5f-8d64-8774d73925fe,People,dead,Sem identificação,"05/01/2023, 00:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54310,"Rua Ernesto Cavalcanti, 150 - Afogados, Recife - PE, 50760-002, Brasil",Nordeste,Pernambuco,RECIFE,AFOGADOS,,,-8.074233,-34.914681,"05/01/2023, 15:00:00",false,false,,Homicidio/Tentativa,,,false,ccc24818-54d6-48a9-baec-a05886831507,People,dead,Sem identificação,"05/01/2023, 15:00:00",Civilian,,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54323,"Praia de Brasília Teimosa - Brasília Teimosa, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BRASILIA TEIMOSA,,,-8.085912,-34.87836619999999,"06/01/2023, 20:00:00",false,false,,Homicidio/Tentativa,,,false,d25567dc-a707-49af-b532-73db9d31f0a6,People,dead,Sem identificação,"06/01/2023, 21:00:00",Civilian,21,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54326,"Comunidade do Caiara- Iputinga, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,IPUTINGA,,COMUNIDADE CAIARA,-8.0367128,-34.9352704,"07/01/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,cc1d3f91-a3af-4e0e-84d2-2b4b71c5a68c,People,dead,Sem identificação,"07/01/2023, 13:00:00",Civilian,25,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54365,"Boa Viagem, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BOA VIAGEM,,,-8.1317303,-34.902409,"07/01/2023, 17:00:00",true,true,PM (ROCAM),Ação policial,,Perseguição,false,557f2887-fe8c-4e85-9734-af0957e6dfe0,People,wounded,Sem identificação,,Civilian,29,adulto,homem cis,Negra,sem identificação,de folga,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54358,"Tv. Severino Miguel de Moura 2 - Sítio dos Pintos, Recife - Pernambuco, Brasil",Nordeste,Pernambuco,RECIFE,SITIO DOS PINTOS,,,-8.0172021,-34.9611683,"08/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,39247627-dc94-4f5c-9358-d7526e9bb67b,People,dead,Sem identificação,"08/01/2023, 21:00:00",Civilian,30,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
